source_id,source_album,source_artist,source_score,source_year1,source_year2,target_id,target_album,target_artist,target_score,target_year1,target_year2,target_rank,cosine_sim,source_year_master,target_year_master,source_score_cut,target_score_cut
22561,death certificate,ice cube,9.5,1991.0,,20048,ferg forever,a$ap ferg,6.4,2014.0,,1,0.9946746050231003,1991.0,2014.0,Great,Bad
22561,death certificate,ice cube,9.5,1991.0,,18930,piata,"madlib, freddie gibbs",8.0,2014.0,,2,0.9945504887811479,1991.0,2014.0,Great,Great
22566,blunted on reality,fugees,7.6,1994.0,2016.0,5711,street's disciple,nas,7.2,2004.0,,1,0.9892049101186773,1994.0,2004.0,Good,Good
22566,blunted on reality,fugees,7.6,1994.0,2016.0,13373,slaughterhouse,slaughterhouse,5.5,2009.0,,2,0.9879791828231079,1994.0,2009.0,Good,Bad
22132,things fall apart,the roots,9.4,1999.0,,4331,power in numbers,jurassic 5,7.1,2002.0,,1,0.9923341353133979,1999.0,2002.0,Great,Good
22132,things fall apart,the roots,9.4,1999.0,,4551,right about now: the official sucka free mixtape,talib kweli,5.5,2005.0,,2,0.9910591225144533,1999.0,2005.0,Great,Bad
22043,buhloone mindstate,de la soul,9.1,1993.0,,6888,birth of a prince,rza,3.1,2003.0,,1,0.988212518749709,1993.0,2003.0,Great,Bad
22043,buhloone mindstate,de la soul,9.1,1993.0,,9331,idlewild,outkast,6.7,2006.0,,2,0.9875040560841112,1993.0,2006.0,Great,Good
21426,free crack 3,lil bibby,7.1,2015.0,,21773,thug talk,boosie badazz,7.3,2016.0,,2,0.9939740155246785,2015.0,2016.0,Good,Good
21378,5 o'clock shadow,jimi tents,7.9,2015.0,,22655,bucket list project,saba,7.0,2016.0,,1,0.9894740428657044,2015.0,2016.0,Great,Good
21292,ilovemakonnen 2,ilovemakonnen,7.6,2015.0,,22523,big baby d.r.a.m.,d.r.a.m.,7.8,2016.0,,2,0.9868678245993118,2015.0,2016.0,Good,Great
21274,shadow of a doubt,freddie gibbs,7.8,2015.0,,22146,legends never die,chinx,6.0,2016.0,,1,0.9939180873701012,2015.0,2016.0,Great,Bad
21216,the incredible true story,logic,6.1,2015.0,,21836,views,drake,6.8,2016.0,,2,0.9915669993219789,2015.0,2016.0,Bad,Good
20916,free tc,ty dolla $ign,7.7,2015.0,,21928,august 26th,post malone,5.2,2016.0,,1,0.9919703012304519,2015.0,2016.0,Great,Bad
21218,people's instinctive travels and the paths of rhythm,a tribe called quest,10.0,1990.0,2015.0,6612,the further adventures of lord quas,quasimoto,7.0,2005.0,,1,0.9872127983897898,1990.0,2005.0,Great,Good
21218,people's instinctive travels and the paths of rhythm,a tribe called quest,10.0,1990.0,2015.0,3540,this week,jean grae,7.9,2004.0,,2,0.9863590056139777,1990.0,2004.0,Great,Great
21132,late knight special,kirk knight,6.4,2015.0,,22678,fireplace: thenottheotherside,hodgy,5.0,2016.0,,1,0.9952990311136646,2015.0,2016.0,Bad,Bad
21224,airplane mode,ty dolla $ign,6.8,2015.0,,21392,thugged out pissed off,lil b,6.3,2016.0,,1,0.9904482428054193,2015.0,2016.0,Good,Bad
21107,a curious tale of trials + persons,little simz,7.8,2015.0,,22704,stillness in wonderland,little simz,7.1,2016.0,,2,0.9909326215002255,2015.0,2016.0,Great,Good
20998,evermore: the art of duality,the underachievers,7.5,2015.0,,21549,3001: a laced odyssey,flatbush zombies,7.2,2016.0,,1,0.9930339329907764,2015.0,2016.0,Good,Good
21099,slime season,young thug,7.6,2015.0,,21579,i'm up,young thug,7.6,2016.0,,2,0.9965578635550547,2015.0,2016.0,Good,Good
20922,wave[s],mick jenkins,7.6,2015.0,,22431,the healing component,mick jenkins,7.6,2016.0,,1,0.9909963830226142,2015.0,2016.0,Good,Good
20905,winters diary 3,tink,7.2,2015.0,,22293,the divine feminine ,mac miller,7.8,2016.0,,1,0.9906179782068498,2015.0,2016.0,Good,Great
20795,innocent country,quelle chris,6.9,2015.0,,21829,layers,royce 59,6.4,2016.0,,1,0.9927805612795944,2015.0,2016.0,Good,Bad
20751,houston 3 am,beatking,7.0,2015.0,,21392,thugged out pissed off,lil b,6.3,2016.0,,1,0.992356905066794,2015.0,2016.0,Good,Bad
20733,o,london o'connor,7.8,2015.0,,22704,stillness in wonderland,little simz,7.1,2016.0,,1,0.9815424471732461,2015.0,2016.0,Great,Good
20664,surf,donnie trumpet & the social experiment,8.3,2015.0,,21909,coloring book,chance the rapper,9.1,2016.0,,1,0.9861773231159687,2015.0,2016.0,Great,Great
20561,days with dr. yen lo,dr. yen lo,8.0,2015.0,,22267,honor killed the samurai,ka,8.0,2016.0,,2,0.993185199675092,2015.0,2016.0,Great,Great
20536,.wav theory,towkio,6.2,2015.0,,22704,stillness in wonderland,little simz,7.1,2016.0,,2,0.9889037752727455,2015.0,2016.0,Bad,Good
20529,barter 6,young thug,8.4,2015.0,,21579,i'm up,young thug,7.6,2016.0,,2,0.9957613847701299,2015.0,2016.0,Great,Good
20382,black bastards,kmd,8.4,1994.0,2015.0,18105,acid rap,chance the rapper,8.4,2013.0,,1,0.9873978837401554,1994.0,2013.0,Great,Great
20382,black bastards,kmd,8.4,1994.0,2015.0,1791,purple haze,cam'ron,8.7,2004.0,,2,0.9857262043120079,1994.0,2004.0,Great,Great
20380,crown ep,the-dream,6.4,2015.0,,22211,i told you,tory lanez,6.3,2016.0,,1,0.9826272907103338,2015.0,2016.0,Bad,Bad
20380,crown ep,the-dream,6.4,2015.0,,22363,the suns tirade ,isaiah rashad,8.1,2016.0,,2,0.9823361348859854,2015.0,2016.0,Bad,Great
20318,b4frvr,two-9,6.5,2015.0,,21706,collegrove,"lil wayne, 2 chainz",6.8,2016.0,,1,0.9946620408084178,2015.0,2016.0,Bad,Good
20228,non-fiction,ne-yo,6.4,2015.0,,22293,the divine feminine ,mac miller,7.8,2016.0,,1,0.9914380171590034,2015.0,2016.0,Bad,Great
20059,luca brasi 2,kevin gates,7.2,2014.0,,20661,at.long.last.a$ap,a$ap rocky,7.8,2015.0,,2,0.9948168589955795,2014.0,2015.0,Good,Great
20087,nobody,chief keef,7.0,2014.0,,20502,almighty dp,chief keef,7.8,2015.0,,1,0.9937638225930487,2014.0,2015.0,Good,Great
20045,what happened to the world,the jacka,8.0,2014.0,,21094,90059,jay rock,8.0,2015.0,,1,0.9945109574862561,2014.0,2015.0,Great,Great
20045,what happened to the world,the jacka,8.0,2014.0,,20844,drought season 3,"berner, the jacka",7.3,2015.0,,2,0.9944784523096327,2014.0,2015.0,Great,Good
19997,it takes a nation of millions to hold us back,public enemy,10.0,1988.0,2014.0,10926,how you sell soul to a souless people who sold their soul???,public enemy,7.1,2007.0,,1,0.9898265010962983,1988.0,2007.0,Great,Good
19997,it takes a nation of millions to hold us back,public enemy,10.0,1988.0,2014.0,9364,game theory,the roots,7.7,2006.0,,2,0.9896189918758453,1988.0,2006.0,Great,Great
20027,back from the dead 2,chief keef,7.8,2014.0,,20281,sorry 4 the weight,chief keef,7.1,2015.0,,1,0.9932950226150359,2014.0,2015.0,Great,Good
20027,back from the dead 2,chief keef,7.8,2014.0,,21274,shadow of a doubt,freddie gibbs,7.8,2015.0,,2,0.9925306577589501,2014.0,2015.0,Great,Great
19968,run the jewels 2,run the jewels,9.0,2014.0,,21145,meow the jewels,run the jewels,7.0,2015.0,,1,0.9971587198895272,2014.0,2015.0,Great,Good
19822,if there's a hell below,black milk,7.3,2014.0,,20762,lucky 7,statik selektah,5.0,2015.0,,1,0.9945435449809844,2014.0,2015.0,Good,Bad
19849,hell can wait ep,vince staples,8.5,2014.0,,20661,at.long.last.a$ap,a$ap rocky,7.8,2015.0,,1,0.988752580655764,2014.0,2015.0,Great,Great
19849,hell can wait ep,vince staples,8.5,2014.0,,21287,islah,kevin gates,8.5,2016.0,,2,0.9881650645528557,2014.0,2016.0,Great,Great
19901,tha tour part 1,"birdman, young thug, rich homie quan",8.0,2014.0,,20529,barter 6,young thug,8.4,2015.0,,2,0.9953357859499206,2014.0,2015.0,Great,Great
19878,a toothpaste suburb,milo,7.8,2014.0,,21199,so the flies don't come,milo,7.4,2015.0,,1,0.9905007929865378,2014.0,2015.0,Great,Good
19878,a toothpaste suburb,milo,7.8,2014.0,,21687,the impossible kid,aesop rock,8.2,2016.0,,2,0.9898036501464825,2014.0,2016.0,Great,Great
19790,indigo child,raury,6.5,2014.0,,21107,a curious tale of trials + persons,little simz,7.8,2015.0,,1,0.9888274310405194,2014.0,2015.0,Bad,Great
19709,10 summers,dj mustard,7.7,2014.0,,22586,trap or die 3,jeezy,6.0,2016.0,,1,0.9936010693973739,2014.0,2016.0,Great,Bad
19709,10 summers,dj mustard,7.7,2014.0,,22094,blank face lp,schoolboy q,8.3,2016.0,,2,0.9930869132924788,2014.0,2016.0,Great,Great
19612,insa,mellowhype,6.6,2014.0,,20300,dena tape 2,hodgy,5.7,2015.0,,1,0.9958482942379168,2014.0,2015.0,Bad,Bad
19612,insa,mellowhype,6.6,2014.0,,20762,lucky 7,statik selektah,5.0,2015.0,,2,0.9952466602941828,2014.0,2015.0,Bad,Bad
19479,these things happen,g-eazy,6.1,2014.0,,21325,when it's dark out,g-eazy,6.7,2015.0,,1,0.9944570064801331,2014.0,2015.0,Bad,Good
19484,neon icon,riff raff,5.4,2014.0,,20404,mr. wonderful,action bronson,6.3,2015.0,,2,0.987926074114726,2014.0,2015.0,Bad,Bad
19481,these days...,ab-soul,7.7,2014.0,,20300,dena tape 2,hodgy,5.7,2015.0,,2,0.9945658421468103,2014.0,2015.0,Great,Bad
19477,dark comedy,open mike eagle,8.0,2014.0,,21863,kindness for weakness,homeboy sandman,6.7,2016.0,,1,0.9931495051480285,2014.0,2016.0,Great,Good
19472,niggas on the moon,death grips,6.7,2014.0,,22399,mykki,mykki blanco,7.7,2016.0,,2,0.9663612152635398,2014.0,2016.0,Good,Great
19297,good to be home,blu,6.5,2014.0,,21155,bad neighbor,"madlib, m.e.d., blu",7.2,2015.0,,2,0.9952798593715193,2014.0,2015.0,Bad,Good
19332,...and then you shoot your cousin,the roots,7.2,2014.0,,22678,fireplace: thenottheotherside,hodgy,5.0,2016.0,,1,0.9919446861270014,2014.0,2016.0,Good,Bad
19332,...and then you shoot your cousin,the roots,7.2,2014.0,,21132,late knight special,kirk knight,6.4,2015.0,,2,0.9916715668219367,2014.0,2015.0,Good,Bad
19361,freebase ep,2 chainz,7.2,2014.0,,20926,trap-a-velli tre,2 chainz,6.6,2015.0,,1,0.9916206216631198,2014.0,2015.0,Good,Good
19361,freebase ep,2 chainz,7.2,2014.0,,20659,murder for hire ep,kevin gates,7.1,2015.0,,2,0.9912296119897648,2014.0,2015.0,Good,Good
19230,sincerely yours,iamsu!,6.0,2014.0,,20373,ludaversal,ludacris,5.3,2015.0,,1,0.9938030544728941,2014.0,2015.0,Bad,Bad
19320,southsiders,atmosphere,6.3,2014.0,,22210,fishing blues,atmosphere,5.6,2016.0,,1,0.9940043284012897,2014.0,2016.0,Bad,Bad
19285,food,kelis,6.3,2014.0,,22210,fishing blues,atmosphere,5.6,2016.0,,2,0.9817813555315013,2014.0,2016.0,Bad,Bad
19290,young thugga mane la flare,"gucci mane, young thug",6.9,2014.0,,21099,slime season,young thug,7.6,2015.0,,2,0.9926464969746794,2014.0,2015.0,Good,Good
19221,honest,future,8.1,2014.0,,20778,dreams worth more than money,meek mill,7.4,2015.0,,1,0.9935067477576364,2014.0,2015.0,Great,Good
19240,the infamous,mobb deep,10.0,1995.0,2014.0,20045,what happened to the world,the jacka,8.0,2014.0,,1,0.9942552542981166,1995.0,2014.0,Great,Great
19240,the infamous,mobb deep,10.0,1995.0,2014.0,20052,36 seasons,ghostface killah,6.0,2014.0,,2,0.9940158811015041,1995.0,2014.0,Great,Bad
19206,remember me,sage the gemini,7.5,2014.0,,20318,b4frvr,two-9,6.5,2015.0,,2,0.992600776409544,2014.0,2015.0,Good,Bad
19164,my krazy life,yg,8.1,2014.0,,22160,young jefe 2,shy glizzy,7.1,2016.0,,1,0.9927445965045152,2014.0,2016.0,Great,Good
19164,my krazy life,yg,8.1,2014.0,,22146,legends never die,chinx,6.0,2016.0,,2,0.9921213423385957,2014.0,2016.0,Great,Bad
19133,satellite flight: the journey to mother moon,kid cudi,6.0,2014.0,,22293,the divine feminine ,mac miller,7.8,2016.0,,1,0.979146943522299,2014.0,2016.0,Bad,Great
19133,satellite flight: the journey to mother moon,kid cudi,6.0,2014.0,,21740,genesis,domo genesis,7.2,2016.0,,2,0.9772701934254768,2014.0,2016.0,Bad,Good
19131,the drive in theatre,curren$y,7.6,2014.0,,20466,pilot talk iii,curren$y,7.9,2015.0,,2,0.9952997799648188,2014.0,2015.0,Good,Great
18881,three seashells,lakutis,6.7,2013.0,,20186,sorry 4 the wait 2,lil wayne,6.4,2015.0,,2,0.9848591949603008,2013.0,2015.0,Good,Bad
19034,white sands,homeboy sandman,7.3,2014.0,,21687,the impossible kid,aesop rock,8.2,2016.0,,2,0.980231417688911,2014.0,2016.0,Good,Great
19014,cilvia demo,isaiah rashad,8.2,2014.0,,20661,at.long.last.a$ap,a$ap rocky,7.8,2015.0,,1,0.994278912415928,2014.0,2015.0,Great,Great
18979,winter's diary 2,tink,7.6,2014.0,,21544,in my mind,bj the chicago kid,7.6,2016.0,,1,0.9850491704808659,2014.0,2016.0,Good,Good
18979,winter's diary 2,tink,7.6,2014.0,,22293,the divine feminine ,mac miller,7.8,2016.0,,2,0.9848352615808971,2014.0,2016.0,Good,Great
18933,come to life,cities aviv,7.3,2014.0,,21132,late knight special,kirk knight,6.4,2015.0,,2,0.9872674541314713,2014.0,2015.0,Good,Bad
18884,not o.k.,kool a.d.,6.6,2013.0,,19272,word o.k.,kool a.d.,6.7,2014.0,,1,0.9916733934994155,2013.0,2014.0,Bad,Good
18885,the soul tape 3,fabolous,6.2,2013.0,,20796,fwa,lil wayne,5.5,2015.0,,1,0.9952363639563893,2013.0,2015.0,Bad,Bad
18843,"the block brochure: welcome to the soil, pt. 4, 5, & 6 ",e-40,7.5,2013.0,,20659,murder for hire ep,kevin gates,7.1,2015.0,,2,0.9920350503995818,2013.0,2015.0,Good,Good
18817,because the internet,childish gambino,5.8,2013.0,,20762,lucky 7,statik selektah,5.0,2015.0,,2,0.9916424015952261,2013.0,2015.0,Bad,Bad
18812,black panties,r. kelly,6.8,2013.0,,21664,i'm a piece of shit,father,7.7,2016.0,,1,0.9905887196725662,2013.0,2016.0,Good,Great
18803,step brothers 2,"don trip, starlito",7.7,2013.0,,20762,lucky 7,statik selektah,5.0,2015.0,,1,0.9939888840873154,2013.0,2015.0,Great,Bad
18803,step brothers 2,"don trip, starlito",7.7,2013.0,,20373,ludaversal,ludacris,5.3,2015.0,,2,0.9933369271303172,2013.0,2015.0,Great,Bad
18615,"no poison, no paradise",black milk,7.3,2013.0,,19822,if there's a hell below,black milk,7.3,2014.0,,1,0.9931572814723392,2013.0,2014.0,Good,Good
18615,"no poison, no paradise",black milk,7.3,2013.0,,20373,ludaversal,ludacris,5.3,2015.0,,2,0.992482005405648,2013.0,2015.0,Good,Bad
18277,my name is my name,pusha t,8.0,2013.0,,20300,dena tape 2,hodgy,5.7,2015.0,,1,0.9948719234403837,2013.0,2015.0,Great,Bad
18277,my name is my name,pusha t,8.0,2013.0,,20762,lucky 7,statik selektah,5.0,2015.0,,2,0.9947597292307245,2013.0,2015.0,Great,Bad
18506,tree house,le1f,7.7,2013.0,,21109,riot boi,le1f,7.5,2015.0,,1,0.9832976942433608,2013.0,2015.0,Great,Good
18506,tree house,le1f,7.7,2013.0,,21312,big grrrl small world,lizzo,7.5,2015.0,,2,0.9827740559655346,2013.0,2015.0,Great,Good
18511,nothing was the same,drake,8.6,2013.0,,20220,dark sky paradise,big sean,7.1,2015.0,,1,0.995202277521911,2013.0,2015.0,Great,Good
18561,dedication 5,lil wayne,5.1,2013.0,,20796,fwa,lil wayne,5.5,2015.0,,1,0.9963475012936928,2013.0,2015.0,Bad,Bad
